,Name,NOC,Discipline
1449,CAMERON Lloydricia,Jamaica,Athletics
1450,CAMILO de OLIVEIRA Paulo Andre,Brazil,Athletics
1451,CAMPAZZO Facundo,Argentina,Basketball
1452,CAMPBELL Bronte,Australia,Swimming
1453,CAMPBELL Cate,Australia,Swimming
1454,CAMPBELL Emily Jade,Great Britain,Weightlifting
1455,CAMPBELL Jane,United States of America,Football
1456,CAMPBELL Jesse,New Zealand,Equestrian
1457,CAMPBELL Luke,Germany,Athletics
1458,CAMPBELL Paige,Australia,Athletics
1459,CAMPBELL Richard,Australia,Water Polo
1460,CAMPBELL Taylor,Great Britain,Athletics
1461,CAMPBELL Teniel,Trinidad and Tobago,Cycling Road
1462,CAMPION Kevin,France,Athletics
1463,CAMPOS Jorge,Cuba,Table Tennis
1464,CAMPOS Luiza,Brazil,Rugby Sevens
1465,CAMPOS Luis Henry,Peru,Athletics
1466,CAMPOS Natalia,Chile,Football
1467,CAMPOS PEREIRA Rafael Henrique,Brazil,Athletics
1468,CAMPOS Rafael,Puerto Rico,Golf
1469,CAMPOS Tiago,Portugal,Marathon Swimming
1470,CAMPUZANO CHAVEZ PEON Daniela,Mexico,Cycling Mountain Bike
1471,CAN Yasemin,Turkey,Athletics
1472,CANALEJO PAZOS Jaime,Spain,Rowing
1473,CANALES Antonia,Chile,Football
1474,CANCAR Vlatko,Slovenia,Basketball
1475,CANELO SANCHEZ Eliecer Alfonso,Venezuela,Volleyball
1476,CANETT Kayla,United States of America,Rugby Sevens
1477,CANNONE Romain,France,Fencing
1478,CANO RUIZ Carmen,Spain,Hockey
1479,CANTER Rosalind,Great Britain,Equestrian
1480,CANTERO REINA Patricia,Spain,Sailing
1481,CANUEL Karol-Ann,Canada,Cycling Road
1482,CAPDEVILLE Gustavo,Portugal,Handball
1483,CAPOBIANCO Andrew,United States of America,Diving
1484,CAPOGROSSO Nicolas,Argentina,Beach Volleyball
1485,CAPORASO Teodorico,Italy,Athletics
1486,CARAMBULA RAURICH Adrian Ignacio,Italy,Beach Volleyball
1487,CARAMIGNOLI Martina Rita,Italy,Swimming
1488,CARAPAZ Richard,Ecuador,Cycling Road
1489,CARBALLES BAENA Roberto,Spain,Tennis
1490,CARBONELL BALLESTERO Ona,Spain,Artistic Swimming
1491,CARD Devon,South Africa,Water Polo
1492,CARD Kelsey,United States of America,Athletics
1493,CARDA Ally,United States of America,Baseball/Softball
1494,CARDENAS ESTRADA Jorge Adan,Mexico,Weightlifting
1495,CARDONA MENDEZ Joan,Spain,Sailing
1496,CARDOSO Adriana,Brazil,Handball
1497,CARDOZO ROJAS Irismar del Valle,Venezuela,Boxing
1498,CAREY Jade,United States of America,Artistic Gymnastics
1499,CAREY Michelle,Ireland,Hockey
1500,CARGNIN Daniel,Brazil,Judo
1501,CARINI Giacomo,Italy,Swimming
1502,CARIOLOU Andreas,Cyprus,Sailing
1503,CARLE Gabrielle,Canada,Football
1504,CARLETON Bridget,Canada,Basketball
1505,CARLI Sarah,Australia,Athletics
1506,CARLILE Thomas,France,Equestrian
1507,CARLIN Jack,Great Britain,Cycling Track
1508,CARLOS Azenaide,Angola,Handball
1509,CARLSBOGARD Jonathan,Sweden,Handball
1510,CARLSON Jenny,Sweden,Handball
1511,CARNEGIE Sholto,Great Britain,Rowing
1512,CARO NARVAEZ Angelo,Peru,Skateboarding
1513,CAROSONE Emily,Italy,Baseball/Softball
1514,CAROU Gonzalo Matias,Argentina,Handball
1515,CARPENTER Ellie,Australia,Football
1516,CARPREAUX Marjorie,Belgium,Basketball
1517,CARRANZA SAROLI Cecilia,Argentina,Sailing
1518,CARRARO Martina,Italy,Swimming
1519,CARRASCO ANGULO Jose Manuel,Venezuela,Volleyball
1520,CARRERA QUINTANA Raquel,Spain,Basketball
1521,CARRIER Marina,Australia,Modern Pentathlon
1522,CARRILLO Duilio,Mexico,Modern Pentathlon
1523,CARRILLO Marko,Peru,Shooting
1524,CARRILLO Yeseida,Colombia,Athletics
1525,CARRINGTON Lisa,New Zealand,Canoe Sprint
1526,CARRO Fernando,Spain,Athletics
1527,CARROLL Naomi,Ireland,Hockey
1528,CARSTENSEN Sebastian Fini,Denmark,Cycling Mountain Bike
1529,CARTER Anthony,United States of America,Baseball/Softball
1530,CARTER Chris,United States of America,Athletics
1531,CARTER Dylan,Trinidad and Tobago,Swimming
1532,CARUSO Bianca,Italy,Sailing
1533,CARUSO Damiano,Italy,Cycling Road
1534,CARVALHO Lucas,Brazil,Athletics
1535,CASAS Queralt,Spain,Basketball
1536,CASAS Triston,United States of America,Baseball/Softball
1537,CASELLA SCHUTH Maico,Argentina,Hockey
1538,CASETTA Belen,Argentina,Athletics
1539,CASEY Paul,Great Britain,Golf
1540,CASHIN Amy,Australia,Athletics
1541,CASILLAS GARCIA Miriam,Spain,Triathlon
1542,CASLICK Charlotte,Australia,Rugby Sevens
1543,CASSANDRO Tammaro,Italy,Shooting
1544,CASSARA Andrea,Italy,Fencing
1545,CASSE Matthias,Belgium,Judo
1546,CASSIEM Abdud Dayaan,South Africa,Hockey
1547,CASSIEM Mustaphaa,South Africa,Hockey
1548,CASSIN Alexandre,France,Table Tennis
1549,CASSON Jennifer,Canada,Rowing
1550,CASTALDO Matteo,Italy,Rowing
1551,CASTANEDA Jhon Alexander,Colombia,Athletics
1552,CASTANO GARCIA Gabriel,Mexico,Swimming
1553,CASTEL BLANCO Jorge,Panama,Athletics
1554,CASTELLANOS SOANEZ Mercedes,Spain,Handball
1555,CASTILLO Brenda,Dominican Republic,Volleyball
1556,CASTILLO GALINDO Rut,Mexico,Rhythmic Gymnastics
1557,CASTILLO Gabriel,Bolivia,Swimming
1558,CASTILLO Luis,Dominican Republic,Baseball/Softball
1559,CASTILLO TORRES Julio Cesar,Ecuador,Boxing
1560,CASTREN Matilda,Finland,Golf
1561,CASTRO Angela,Bolivia,Athletics
1562,CASTRO Daniel,Spain,Archery
1563,CASTRO Simona,Chile,Artistic Gymnastics
1564,CATLEY Steph,Australia,Football
1565,CAVAGNA Remi,France,Cycling Road
1566,CAVALLAR Valentina,Austria,Rowing
1567,CAVALLI Marta,Italy,Cycling Road
1568,CAVANNA Domiziana,Italy,Artistic Swimming
1569,CAVARS Agnis,Latvia,3x3 Basketball
1570,CAVURU Lavena,Fiji,Rugby Sevens
1571,CAZANGA Magda,Angola,Handball
1572,CAZORLA MEDINA Maria Teresa,Spain,Basketball
1573,CEBALLOS Dani,Spain,Football
1574,CEBASEK Jakob,Slovenia,Basketball
1575,CECCARELLO Sofia,Italy,Shooting
1576,CECCHETTI Elisa,Italy,Baseball/Softball
1577,CECCON Thomas,Italy,Swimming
1578,CEDENIO Machel,Trinidad and Tobago,Athletics
1579,CEDENO MARTINEZ Euri,Dominican Republic,Boxing
1580,CEH Kristjan,Slovenia,Athletics
1581,CEJKA Jan,Czech Republic,Swimming
1582,CELAYA HERNANDEZ Juan Manuel,Mexico,Diving
1583,CELE Thabo,South Africa,Football
1584,CELIC Vuk,Serbia,Swimming
1585,CELIS Nick,Belgium,3x3 Basketball
1586,CENHOLT Lin,Denmark,Sailing
1587,CENTOFANTI Martina,Italy,Rhythmic Gymnastics
1588,CENTRACCHIO Maria,Italy,Judo
1589,CENTROWITZ Matthew,United States of America,Athletics
1590,CEPEDE ROYG Veronica,Paraguay,Tennis
1591,CEREZO IGLESIAS Adriana,Spain,Taekwondo
1592,CERIC Larisa,Bosnia and Herzegovina,Judo
1593,CERRUTI Linda,Italy,Artistic Swimming
1594,CERULLO Isadora,Brazil,Rugby Sevens
1595,CERUNDOLO Francisco,Argentina,Tennis
1596,CERVANTES Brittany,Mexico,Baseball/Softball
1597,CERVANTES Diego,Mexico,Fencing
1598,CERVENKOVA Marketa,Czech Republic,Athletics
1599,CESAR Taciana,Guinea-Bissau,Judo
1600,CESAREO ROMERO Elisabet,Spain,Handball
1601,CESARINI Federica,Italy,Rowing
1602,CETRARO BERRIOLO Bruno,Uruguay,Rowing
1603,CHA Woochan,Republic of Korea,Baseball/Softball
1604,CHAABI Houda,Algeria,Shooting
1605,CHABEL Monika,Poland,Rowing
1606,CHABEL Wiktor,Poland,Rowing
1607,CHABOWSKI Marcin,Poland,Athletics
1608,CHACHA Rosa,Ecuador,Athletics
1609,CHADALAVADA ANANDHA SUNDH Bhavani .,India,Fencing
1610,CHAE Yujung,Republic of Korea,Badminton
1611,CHAHDI Hassan,France,Athletics
1612,CHAIB Ichrak,Algeria,Boxing
1613,CHAIKA Viktoria,Belarus,Shooting
1614,CHAINE Guillaume,France,Judo
1615,CHALA Vanessa,Ecuador,Judo
1616,CHALABIYEV Javid,Azerbaijan,Boxing
1617,CHALKER Emily,Australia,Hockey
1618,CHALMERS Cameron,Great Britain,Athletics
1619,CHALMERS Kyle,Australia,Swimming
1620,CHALYAN Karapet,Armenia,Wrestling
1621,CHAMA Noel,Mexico,Athletics
1622,CHAMIZO MARQUEZ Frank,Italy,Wrestling
1623,CHAMPNESS Joe,New Zealand,Football
1624,CHAN Chung Wang,"Hong Kong, China",Athletics
1625,CHAN Hao-Ching,Chinese Taipei,Tennis
1626,CHAN Hei Man H V,"Hong Kong, China",Sailing
1627,CHAN Jonathan,Singapore,Diving
1628,CHAN Latisha,Chinese Taipei,Tennis
1629,CHAN Peng Soon,Malaysia,Badminton
1630,CHAN Tiffany,"Hong Kong, China",Golf
1631,CHANCE Olivia,New Zealand,Football
1632,CHAND Dutee,India,Athletics
1633,CHANDA Grace,Zambia,Football
1634,CHANDELA Apurvi,India,Shooting
1635,CHANG Chu-Han,Chinese Taipei,Canoe Slalom
1636,CHANG Yuan,People's Republic of China,Boxing
1637,CHANG Yong Heung,Republic of Korea,Rugby Sevens
1638,CHANOURDIE Julia,France,Sport Climbing
1639,CHANYIM Kamolwan,Thailand,Sailing
1640,CHAPMAN Allysha,Canada,Football
1641,CHARDY Jeremy,France,Tennis
1642,CHARLEMAGNE Mikaili,Saint Lucia,Swimming
1643,CHARLES Harry,Great Britain,Equestrian
1644,CHARLES Niamh,Great Britain,Football
1645,CHARLES Tina,United States of America,Basketball
1646,CHARLIER Cedric Daniel Andre,Belgium,Hockey
1647,CHARLTON Devynne,Bahamas,Athletics
1648,CHARLTON Samantha,New Zealand,Hockey
1649,CHARNI Olfa,Tunisia,Shooting
1650,CHAROENKUL Gunn,Thailand,Golf
1651,CHARRON Maude G,Canada,Weightlifting
1652,CHARTER Andrew Lewis,Australia,Hockey
1653,CHARTOI Adam,Sweden,Boxing
1654,CHASE Kendall,United States of America,Rowing
1655,CHAUDHARY Sarswati,Nepal,Athletics
1656,CHAVATANONT Arinadtha,Thailand,Equestrian
1657,CHAVES GUIMARAES Maria Ieda,Brazil,Modern Pentathlon
1658,CHAVES RUBIO Jhoan Esteban,Colombia,Cycling Road
1659,CHAVEZ MUNOZ Arantxa,Mexico,Diving
1660,CHEAH Soniia,Malaysia,Badminton
1661,CHEBET Esther,Uganda,Athletics
1662,CHEBET Winny,Kenya,Athletics
1663,CHEBOTAR Vladislav,ROC,Canoe Sprint
1664,CHEDDAR Rabab,Morocco,Boxing
1665,CHEIKH ROUHOU Nihel,Tunisia,Judo
1666,CHEKHIRKIN Aleksandr,ROC,Wrestling
1667,CHEKWEL Juliet,Uganda,Athletics
1668,CHELANGAT Mercyline,Uganda,Athletics
1669,CHELANGAT Sarah,Uganda,Athletics
1670,CHELANGAT Sheila,Kenya,Athletics
1671,CHELIMO Oscar,Uganda,Athletics
1672,CHELIUS Emma,South Africa,Swimming
1673,CHELLI Tommaso,Italy,Shooting
1674,CHEMONGESI Filex,Uganda,Athletics
1675,CHEMTAI Emmaculate,Kenya,Volleyball
1676,CHEMUTAI Albert,Uganda,Athletics
1677,CHEMUTAI Immaculate,Uganda,Athletics
1678,CHEMUTAI Peruth,Uganda,Athletics
1679,CHEN Aisen,People's Republic of China,Diving
1680,CHEN Chien An,Chinese Taipei,Table Tennis
1681,CHEN Chieh,Chinese Taipei,Athletics
1682,CHEN Daxiang,People's Republic of China,Boxing
1683,CHEN Dongqi,People's Republic of China,Shooting
1684,CHEN He,People's Republic of China,Sailing
1685,CHEN Hsuan-Yu Wendy,Australia,Badminton
1686,CHEN Jiamin,People's Republic of China,Athletics
1687,CHEN Jie,People's Republic of China,Swimming
1688,CHEN Jasmine Shao-Man,Chinese Taipei,Equestrian
1689,CHEN Keyi,People's Republic of China,Rugby Sevens
1690,CHEN Kuei-Ru,Chinese Taipei,Athletics
1691,CHEN Long,People's Republic of China,Badminton
1692,CHEN Meng,People's Republic of China,Table Tennis
1693,CHEN Nien-Chin,Chinese Taipei,Boxing
1694,CHEN Po-Jen,Chinese Taipei,Weightlifting
1695,CHEN Qiaozhu,People's Republic of China,Football
1696,CHEN Qingyuan,People's Republic of China,Fencing
1697,CHEN Qing Chen,People's Republic of China,Badminton
1698,CHEN Shasha,People's Republic of China,Sailing
1699,CHEN Shi,People's Republic of China,Canoe Slalom
1700,CHEN Szu Yu,Chinese Taipei,Table Tennis
1701,CHEN Wen-Huei,Chinese Taipei,Weightlifting
1702,CHEN Xiao,People's Republic of China,Water Polo
1703,CHEN Yang,People's Republic of China,Athletics
1704,CHEN Yang,People's Republic of China,Hockey
1705,CHEN Yi,People's Republic of China,Hockey
1706,CHEN Yunxia,People's Republic of China,Rowing
1707,CHEN Yuxi,People's Republic of China,Diving
1708,CHEN Yu Fei,People's Republic of China,Badminton
1709,CHENG Camille Lily Mei,"Hong Kong, China",Swimming
1710,CHENG Chao-Tsun,Chinese Taipei,Athletics
1711,CHENG Eden,Great Britain,Diving
1712,CHENG Hsien Tzu,Chinese Taipei,Table Tennis
1713,CHENG I Ching,Chinese Taipei,Table Tennis
1714,CHENG Long,People's Republic of China,Swimming
1715,CHENG Yujie,People's Republic of China,Swimming
1716,CHEONG Jun Hoong,Malaysia,Diving
1717,CHEPKOECH Beatrice,Kenya,Athletics
1718,CHEPNGETICH Ruth,Kenya,Athletics
1719,CHEPTAI Irine,Kenya,Athletics
1720,CHEPTEGEI Joshua,Uganda,Athletics
1721,CHERKASOVA Alla,Ukraine,Wrestling
1722,CHERNIGOVSKAYA Svetlana,ROC,Canoe Sprint
1723,CHERNOUSOV Artem,ROC,Shooting
1724,CHERNOUSOVA Margarita,ROC,Shooting
1725,CHERNYSHEVA Anna,ROC,Karate
1726,CHERONO Lawrence,Kenya,Athletics
1727,CHEROUATI Souad Nefissa,Algeria,Marathon Swimming
1728,CHERRY Michael,United States of America,Athletics
1729,CHERUTI Meiron Amir,Israel,Swimming
1730,CHESANG Prisca,Uganda,Athletics
1731,CHETCUTI Andrew,Malta,Swimming
1732,CHETVERIKOVA Anastasiia,Ukraine,Canoe Sprint
1733,CHEUNG Ka Long,"Hong Kong, China",Fencing
1734,CHEUNG Ngan Yi,"Hong Kong, China",Badminton
1735,CHEUNG Siu Lun,"Hong Kong, China",Fencing
1736,CHEVRIER Luc,Saint Lucia,Sailing
1737,CHEW Caroline,Singapore,Equestrian
1738,CHEW Phillip,United States of America,Badminton
1739,CHEW Ryan,United States of America,Badminton
1740,CHEW Zhe Yu Clarence,Singapore,Table Tennis
1741,CHIA Aaron,Malaysia,Badminton
1742,CHIANG Nien-Hsin,Chinese Taipei,Weightlifting
1743,CHIARAVIGLIO German,Argentina,Athletics
1744,CHIBANA Gabriela,Brazil,Judo
1745,CHIDESTER Amanda,United States of America,Baseball/Softball
1746,CHIDOM Oderah,Nigeria,Basketball
1747,CHIENGJIEK James Nyang,Refugee Olympic Team,Athletics
1748,CHIGIREVA Vlada,ROC,Artistic Swimming
1749,CHIKUNOVA Evgeniia,ROC,Swimming
1750,CHILES Jordan,United States of America,Artistic Gymnastics
1751,CHILTON Osisang,Palau,Swimming
1752,CHIMROVA Svetlana,ROC,Swimming
1753,CHINDRIS Andrei,Romania,Football
1754,CHINENYEZE Barthelemy,France,Volleyball
1755,CHING Siu Nga,"Hong Kong, China",Athletics
1756,CHINSHANLO Zulfiya,Kazakhstan,Weightlifting
1757,CHINYEMBA Patrick,Zambia,Boxing
1758,CHIOSEAUA Alexandru,Romania,Rowing
1759,CHIRAULT Thomas,France,Archery
1760,CHIRICHELLA Cristina,Italy,Volleyball
1761,CHIRILA Catalin,Romania,Canoe Sprint
1762,CHITU Andreea,Romania,Judo
1763,CHITUNDU Avell,Zambia,Football
1764,CHIUFFA Fabio,Brazil,Handball
1765,CHKHEIDZE Goga,Georgia,Weightlifting
1766,CHKHVIMIANI Lukhumi,Georgia,Judo
1767,CHO Eunyoung,Republic of Korea,Shooting
1768,CHO Guham,Republic of Korea,Judo
1769,CHO Gwanghee,Republic of Korea,Canoe Sprint
1770,CHO Mahama,Great Britain,Taekwondo
1771,CHO Sangwoo,Republic of Korea,Baseball/Softball
1772,CHO Sungjae,Republic of Korea,Swimming
1773,CHO Sungmin,Republic of Korea,Sailing
1774,CHO Wonwoo,Republic of Korea,Sailing
1775,CHOCHO Andres,Ecuador,Athletics
1776,CHOE Byeongkwang,Republic of Korea,Athletics
1777,CHOI Chun Yin Ryan,"Hong Kong, China",Fencing
1778,CHOI Hyojoo,Republic of Korea,Table Tennis
1779,CHOI Injeong,Republic of Korea,Fencing
1780,CHOI Joohwan,Republic of Korea,Baseball/Softball
1781,CHOI Kyungsun,Republic of Korea,Athletics
1782,CHOI Sooyeon,Republic of Korea,Fencing
1783,CHOI Sumin,Republic of Korea,Handball
1784,CHOI Seong Deok,Republic of Korea,Rugby Sevens
1785,CHOI Solgyu,Republic of Korea,Badminton
1786,CHOIRUNISA Diananda,Indonesia,Archery
1787,CHOLNOKY Sara,Hungary,Sailing
1788,CHON Jongwon,Republic of Korea,Sport Climbing
1789,CHOO Gaeun,Republic of Korea,Shooting
1790,CHOONG Joseph,Great Britain,Modern Pentathlon
1791,CHOPRA Neeraj,India,Athletics
1792,CHOQUERT Benjamin,France,Athletics
1793,CHOU Tien-Chen,Chinese Taipei,Badminton
1794,CHOUKOUD Khalid,Netherlands,Athletics
1795,CHOUPENITCH Alexander,Czech Republic,Fencing
1796,CHOURRAUT Maialen,Spain,Canoe Slalom
1797,CHOW Felice Aisha,Trinidad and Tobago,Rowing
1798,CHOW Mei Kuan,Malaysia,Badminton
1799,CHOY Hiu Fung,"Hong Kong, China",Cycling Road
1800,CHRISTEN Nina,Switzerland,Shooting
1801,CHRISTENSEN Simone,Denmark,Cycling BMX Racing
1802,CHRISTENSON Micah,United States of America,Volleyball
1803,CHRISTIANSEN Henrik,Norway,Swimming
1804,CHRISTIANSEN Mathias,Denmark,Badminton
1805,CHRISTIE Jonatan,Indonesia,Badminton
1806,CHRISTIE Nick,United States of America,Athletics
1807,CHRISTMAS Kyra,Canada,Water Polo
1808,CHRISTOFOROU Antri,Cyprus,Cycling Road
1809,CHRISTOU Apostolos,Greece,Swimming
1810,CHU Ka Mong,"Hong Kong, China",Fencing
1811,CHUANG Chih Yuan,Chinese Taipei,Table Tennis
1812,CHUKWUMA Rosemary,Nigeria,Athletics
1813,CHUMBA Eunice Chebichii,Bahrain,Athletics
1814,CHUPKOV Anton,ROC,Swimming
1815,CHUSOVITINA Oksana,Uzbekistan,Artistic Gymnastics
1816,CIAK Helena,France,Basketball
1817,CICCONE Giulio,Italy,Cycling Road
1818,CICILEO Nicolas,Argentina,Hockey
1819,CID Aina,Spain,Rowing
1820,CIENFUEGOS Javier,Spain,Athletics
1821,CIEPLUCHA Tessa,Canada,Swimming
1822,CIFTCI Batuhan,Turkey,Boxing
1823,CIFUENTES Horacio,Argentina,Table Tennis
1824,CILCIC Elena,Republic of Moldova,Weightlifting
1825,CILIC Marin,Croatia,Tennis
1826,CILOGLU Bilal,Turkey,Judo
1827,CIMINI Gabriele,Italy,Fencing
1828,CINAR Ates,Turkey,Sailing
1829,CINAR Deniz,Turkey,Sailing
1830,CINCIBUCH Jan,Czech Republic,Rowing
1831,CINK Ondrej,Czech Republic,Cycling Mountain Bike
1832,CINTI Lucio,Argentina,Rugby Sevens
1833,CIOBANU Andrei,Romania,Football
1834,CIOBANU Victor,Republic of Moldova,Wrestling
1835,CIOFANI Anne-Cecile,France,Rugby Sevens
1836,CIPRESSA Erica,Italy,Fencing
1837,CIRILO DUBOYS Yarisleidis,Cuba,Canoe Sprint
1838,CIRJENICS Miklos,Hungary,Judo
1839,CISSE Arthur,Côte d'Ivoire,Athletics
1840,CISSE Cheick Sallah,Côte d'Ivoire,Taekwondo
1841,CISTERNAS Eduardo,Chile,Swimming
1842,CITRINI BEAULIEU Melissa,Canada,Diving
1843,CLAES Hanne,Belgium,Athletics
1844,CLAES Kelly,United States of America,Beach Volleyball
1845,CLAESSENS Zoe,Switzerland,Cycling BMX Racing
1846,CLAESSON Lovisa,Sweden,Rowing
1847,CLAIR Merven,Mauritius,Boxing
1848,CLANCY Edward,Great Britain,Cycling Track
1849,CLANCY Taliqua,Australia,Beach Volleyball
1850,CLAREBURT Lewis,New Zealand,Swimming
1851,CLARK Tamara,United States of America,Athletics
1852,CLARK Zoey,Great Britain,Athletics
1853,CLARKE Amya,Saint Kitts and Nevis,Athletics
1854,CLARKE Cheavon,Great Britain,Boxing
1855,CLARKE Dominic,Australia,Trampoline Gymnastics
1856,CLARKE Frazer,Great Britain,Boxing
1857,CLARKE Matthew,Australia,Athletics
1858,CLAUDINHO,Brazil,Football
1859,CLAVER Victor,Spain,Basketball
1860,CLAXTON Jane-Anne,Australia,Hockey
1861,CLAY Liz,Australia,Athletics
1862,CLEARY Jack,Australia,Rowing
1863,CLEIRIGH BUTTNER Siofra,Ireland,Athletics
1864,CLEMONS Christina,United States of America,Athletics
1865,CLERGET Axel,France,Judo
1866,CLEVENOT Trevor,France,Volleyball
1867,CLEVERING Ymkje,Netherlands,Rowing
1868,CLEVERLEY Daisy,New Zealand,Football
1869,CLIFTON Tuva'a,Samoa,Canoe Sprint
1870,CLOUVEL Elodie,France,Modern Pentathlon
1871,COATANEA Pauline,France,Handball
1872,COBAN Merve,Turkey,Karate
1873,COBURN Emma,United States of America,Athletics
1874,COCIORAN Marius Iulian,Romania,Athletics
1875,COCIU Daniela,Republic of Moldova,Canoe Sprint
1876,COCKRELL Anna,United States of America,Athletics
1877,COCUZZI Luiz Henrique,Brazil,Cycling Mountain Bike
1878,COELHO Ygor,Brazil,Badminton
1879,COETZE Pieter,South Africa,Swimming
1880,COFFEY Olivia,United States of America,Rowing
1881,COGGINS Oscar,"Hong Kong, China",Triathlon
1882,COHEN Adva,Israel,Athletics
1883,COHEN Gili,Israel,Judo
1884,COHEN GROUMI Gal,Israel,Swimming
1885,COHEN Yoav,Israel,Sailing
1886,COLACI Massimo,Italy,Volleyball
1887,COLAK Ibrahim,Turkey,Artistic Gymnastics
1888,COLEBROOKE Samson,Bahamas,Athletics
1889,COLEMAN Michelle,Sweden,Swimming
1890,COLEMAN Nathaniel,United States of America,Sport Climbing
1891,COLES Laura,Australia,Shooting
1892,COLIN Louis Richarno,Mauritius,Boxing
1893,COLLARD Maxime,France,Equestrian
1894,COLLEDANI Nadir,Italy,Cycling Mountain Bike
1895,COLLETT Laura,Great Britain,Equestrian
1896,COLLEY Shay,Canada,Basketball
1897,COLLIER Dylan,New Zealand,Rugby Sevens
1898,COLLIER Elise,Australia,Shooting
1899,COLLIER Napheesa,United States of America,Basketball
1900,COLLINS John,Great Britain,Rowing
1901,COLMAN Samy,Morocco,Equestrian
1902,COLOMBATTO Santiago,Argentina,Football
1903,COLOMBO Filippo,Switzerland,Cycling Mountain Bike
1904,COLOMBOTTO ROSSO Lucrezia,Italy,Golf
1905,COLTHRUST Adell,Trinidad and Tobago,Athletics
1906,COMPAORE Benjamin,France,Athletics
1907,CONDE Maria,Spain,Basketball
1908,CONDIE Kyra,United States of America,Sport Climbing
1909,CONDORELLI Santo,Italy,Swimming
1910,CONINX Dorian,France,Triathlon
1911,CONNERS Corey,Canada,Golf
1912,CONNOR Ben,Great Britain,Athletics
1913,CONNOR Isabelle,United States of America,Rhythmic Gymnastics
1914,CONRADIE Pieter,South Africa,Athletics
1915,CONROY Jordan,Ireland,Rugby Sevens
1916,CONSOLINI Chiara,Italy,3x3 Basketball
1917,CONSONNI Simone,Italy,Cycling Track
1918,CONSTANTINE Kyra,Canada,Athletics
1919,CONSTIEN Valerie,United States of America,Athletics
1920,CONTE Aissata Denn,Guinea,Athletics
1921,CONTE Facundo,Argentina,Volleyball
1922,CONTRERAS Isabel,Spain,Canoe Sprint
1923,CONYEDO RUANO Abraham de Jesus,Italy,Wrestling
1924,COOK Oliver,Great Britain,Rowing
1925,COOK Tamsin,Australia,Swimming
1926,COOKE Aoife,Ireland,Athletics
1927,COOKE James,Great Britain,Modern Pentathlon
1928,COOMBES Alec,Great Britain,Rugby Sevens
1929,COONEY-CROSS Kyra,Australia,Football
1930,COOPER Abbey,United States of America,Athletics
1931,COOPER Anton,New Zealand,Cycling Mountain Bike
1932,COOPER Isaac,Australia,Swimming
1933,COOPER Lacarthea,Bahamas,Athletics
1934,COPELLO Yasmani,Turkey,Athletics
1935,COPPELL Harry,Great Britain,Athletics
1936,COPPONI Clara,France,Cycling Track
1937,COQUILLARD Andre Jin,Republic of Korea,Rugby Sevens
1938,CORBETT Kaylene,South Africa,Swimming
1939,CORCHETE Luis Manuel,Spain,Athletics
1940,CORDON Kevin,Guatemala,Badminton
1941,CORDOVA Sebastian,Mexico,Football
1942,CORIA Federico,Argentina,Tennis
1943,CORMENIER Carole,France,Shooting
1944,CORMONT Ethan,France,Athletics
1945,CORNELIE Petr,France,Basketball
1946,CORNET Alize,France,Tennis
1947,CORRAL Daniel,Mexico,Artistic Gymnastics
1948,CORRALES RODAL Rodrigo,Spain,Handball
1949,CORREA Ana Beatriz,Brazil,Volleyball
1950,CORREA Matheus,Brazil,Athletics
1951,CORREIA De SOUZA Douglas,Brazil,Volleyball
1952,CORRIGAN Liam,United States of America,Rowing
1953,CORTES JUNCOSA Francisco,Spain,Hockey
1954,COSCORAN Andrew,Ireland,Athletics
1955,COSNEFROY Benoit,France,Cycling Road
1956,COSSER Christopher,South Africa,Sport Climbing
1957,COSTA BIONDI Valentina Isabel,Argentina,Hockey
1958,COSTA Catarina,Portugal,Judo
1959,COSTA Chiara,Senegal,Shooting
1960,COSTA Diogo,Portugal,Sailing
1961,COSTA Guilherme,Brazil,Swimming
1962,COSTA Jose,Portugal,Sailing
1963,COSTA Pedro,Portugal,Sailing
1964,COSTA Thalia,Brazil,Rugby Sevens
1965,COSTEA Bianca-Andreea,Romania,Swimming
1966,COSTELLO Amy Ewart,Great Britain,Hockey
1967,COTE Andree-Anne,Canada,Artistic Swimming
1968,COUCKUYT Paulien,Belgium,Athletics
1969,COUGHLAN Aoife,Australia,Judo
1970,COURNOYER Rene,Canada,Artistic Gymnastics
1971,COURTNEY Kate,United States of America,Cycling Mountain Bike
1972,COUTINHO Geisa Aparecida,Brazil,Athletics
1973,COUZY Melanie,France,Shooting
1974,COWARD HOLLEY Matthew John,Great Britain,Shooting
1975,COWARD Josh,Australia,Rugby Sevens
1976,COX Bronwyn,Australia,Rowing
1977,COX Michelle,Australia,Baseball/Softball
1978,COXSEY Shauna,Great Britain,Sport Climbing
1979,COYLE Natalya,Ireland,Modern Pentathlon
1980,COZMIUC Ionela,Romania,Rowing
1981,COZMIUC Marius,Romania,Rowing
1982,CRACKLES Fiona Anne,Great Britain,Hockey
1983,CRADDOCK Lawson,United States of America,Cycling Road
1984,CRAFT Shanice,Germany,Athletics
1985,CRAIG Emily,Great Britain,Rowing
1986,CRAIG Thomas William,Australia,Hockey
1987,CRANNY Elise,United States of America,Athletics
1988,CRAVIOTTO Saul,Spain,Canoe Sprint
1989,CREED Brendan William John,Great Britain,Hockey
1990,CREMEN Margaret,Ireland,Rowing
1991,CRESCENZO Angelo,Italy,Karate
